<Athletic_Park_(Vancouver)>	Athletic Park (Vancouver)
<Jack_Cusack>	Jack Cusack
<Professional_Basketball_Club_LLC>	Professional Basketball Club LLC
<Ted_Hughes>	Ted Hughes
<Gerald_Fink>	Gerald Fink
<Paulo_Lopes_(footballer)>	Paulo Lopes (footballer)
<Lancaster,_California>	Lancaster, California
<RAG_AG>	RAG AG
<Nicky_Henson>	Nicky Henson
<Oliver_Drake_(filmmaker)>	Oliver Drake (filmmaker)
<John_Yeon>	John Yeon
<Lisbon>	Lisbon
<Virgin_Interactive>	Virgin Interactive
<British_Orthodox_Church>	British Orthodox Church
<Maxi_(Serbian_supermarket)>	Maxi (Serbian supermarket)
<Steve_Wynn>	Steve Wynn
<Ken_Kesey>	Ken Kesey
<Bruce_Elmegreen>	Bruce Elmegreen
<Mark_Burchill>	Mark Burchill
<Didi_Conn>	Didi Conn
<NBCUniversal>	NBCUniversal
<Fiddler_on_the_Roof_(film)>	Fiddler on the Roof (film)
<Michael_Ho_(politician)>	Michael Ho (politician)
<Eliran_George>	Eliran George
<Frisco_RoughRiders>	Frisco RoughRiders
<E._C._Segar>	E. C. Segar
<Racconti_romani>	Racconti romani
<Jam_(film)>	Jam (film)
<Philip_Cohen_(British_biochemist)>	Philip Cohen (British biochemist)
<St._Marks_Is_Dead>	St. Marks Is Dead
<Paula_Vogel>	Paula Vogel
<Keio_Medical_Science_Prize>	Keio Medical Science Prize
<The_Skies_Belong_to_Us>	The Skies Belong to Us
<Pedro_Valido>	Pedro Valido
<Sidney_Holland>	Sidney Holland
<Maggie_Cheung>	Maggie Cheung
<Michael_Gough>	Michael Gough
<Eggers_&_Higgins>	Eggers & Higgins
<Åsa_Larsson>	Åsa Larsson
<Harold_Hotelling>	Harold Hotelling
<Silvio_Narizzano>	Silvio Narizzano
<UPN>	UPN
<The_Last_Song_(film)>	The Last Song (film)
<Sonny_Anderson>	Sonny Anderson
<Akshay_Venkatesh>	Akshay Venkatesh
<Highland_Arts_Theatre>	Highland Arts Theatre
<Richard_Corliss>	Richard Corliss
<Do_Not_Adjust_Your_Set>	Do Not Adjust Your Set
<Speak_(Anderson_novel)>	Speak (Anderson novel)
<Sutton_United_F.C.>	Sutton United F.C.
<ISCB_Fellow>	ISCB Fellow
<Homi_Sethna>	Homi Sethna
<Gerd_Binnig>	Gerd Binnig
<Angola_national_football_team>	Angola national football team
<Çalıkuşu>	Çalıkuşu
<Pilar_Gonzalbo_Aizpuru>	Pilar Gonzalbo Aizpuru
<Crying_Ladies>	Crying Ladies
<Carlos_Martins_(footballer)>	Carlos Martins (footballer)
<Bess_Truman>	Bess Truman
<Hababam_Sınıfı>	Hababam Sınıfı
<Terrahawks>	Terrahawks
<Charles_Shyer>	Charles Shyer
<Princess_Olga,_Duchess_of_Apulia>	Princess Olga, Duchess of Apulia
<Matosinhos>	Matosinhos
<Getroud_met_rugby>	Getroud met rugby
<Alex_Young_(studio_executive)>	Alex Young (studio executive)
<Dunsbear_Halt_railway_station>	Dunsbear Halt railway station
<CHNB-TV>	CHNB-TV
<Maria_Tam>	Maria Tam
<Padma_Bhushan>	Padma Bhushan
<C.-T._James_Huang>	C.-T. James Huang
<Seth_Gordon>	Seth Gordon
<Candy_Clark>	Candy Clark
<Henri_Poincaré>	Henri Poincaré
<Robert_Townsend_(actor)>	Robert Townsend (actor)
<Stephanie_March>	Stephanie March
<Blackpool>	Blackpool
<Oleksiy_Antonov>	Oleksiy Antonov
<Nicholas_Shackleton>	Nicholas Shackleton
<Palace_of_the_Parliament>	Palace of the Parliament
<Rowan_&_Martin's_Laugh-In>	Rowan & Martin's Laugh-In
<Hamid_Samandarian>	Hamid Samandarian
<Jacinda_Barrett>	Jacinda Barrett
<Fu_Jen_Catholic_University>	Fu Jen Catholic University
<Tenth_Presbyterian_Church>	Tenth Presbyterian Church
<Corpus_Christi_Church_(New_York_City)>	Corpus Christi Church (New York City)
<Amon_G._Carter_Stadium>	Amon G. Carter Stadium
<James_Rothman>	James Rothman
<Sara_Goldrick-Rab>	Sara Goldrick-Rab
<Stefano_Bonaccini>	Stefano Bonaccini
<Alexey_Surkov>	Alexey Surkov
<Olive_Thomas>	Olive Thomas
<Michelle_Alves>	Michelle Alves
<The_Improv_(India)>	The Improv (India)
<Milan_Milanović_(footballer,_born_1963)>	Milan Milanović (footballer, born 1963)
<Iizasa_Ienao>	Iizasa Ienao
<Luna_Vachon>	Luna Vachon
<Bruno_Alves>	Bruno Alves
<Kathy_Fields>	Kathy Fields
<Eliran_Danin>	Eliran Danin
<Allan_Guy>	Allan Guy
<Chatto_&_Windus>	Chatto & Windus
<Alan_Heyman>	Alan Heyman
<Marilyn_Monroe>	Marilyn Monroe
<Maryam_Mirzakhani>	Maryam Mirzakhani
<Barbara_Gelb>	Barbara Gelb
<William_Augustus_Edwards>	William Augustus Edwards
<Tom_Doak>	Tom Doak
<Fools_Crow>	Fools Crow
<Atalanta_B.C.>	Atalanta B.C.
<Kathleen_Widdoes>	Kathleen Widdoes
<David_Oates_(archaeologist)>	David Oates (archaeologist)
<Charles_E._Cunningham>	Charles E. Cunningham
<Billy_Hughes>	Billy Hughes
<Sporting_Clube_de_Portugal>	Sporting Clube de Portugal
<WLBJ-LP>	WLBJ-LP
<Cyril_Smith>	Cyril Smith
<Suha_Arafat>	Suha Arafat
<Takhtasinh_Parmar_Prize>	Takhtasinh Parmar Prize
<Natasha_Henstridge>	Natasha Henstridge
<Arnold_Manoff>	Arnold Manoff
<Lee_Holmes>	Lee Holmes
<Boy_(play)>	Boy (play)
<Mintons>	Mintons
<ITT_Corporation>	ITT Corporation
<Aleriel,_or_A_Voyage_to_Other_Worlds>	Aleriel, or A Voyage to Other Worlds
<Pamela_Silva_Conde>	Pamela Silva Conde
<Christian_Allen>	Christian Allen
<Sun_Microsystems>	Sun Microsystems
<Nottingham_Forest_F.C.>	Nottingham Forest F.C.
<Renault_Mégane>	Renault Mégane
<Mario_Castoldi>	Mario Castoldi
<Fritz_Kortner>	Fritz Kortner
<Syed_Ishtiaq_Ahmed>	Syed Ishtiaq Ahmed
<Lang_Jeffries>	Lang Jeffries
<Edmund_Ignatius_Rice>	Edmund Ignatius Rice
<Raymond_Aubrac>	Raymond Aubrac
<Guadalajara>	Guadalajara
<The_Wolfen>	The Wolfen
<Tim_Berners-Lee>	Tim Berners-Lee
<Micah_Nathan>	Micah Nathan
<The_Great_American_Cowboy>	The Great American Cowboy
<Giuliano_Amato>	Giuliano Amato
<Mediaset>	Mediaset
<Wong_Li-Lin>	Wong Li-Lin
<Gary_Bowes>	Gary Bowes
<Pat_Buchanan>	Pat Buchanan
<Gary_Roberts_(footballer,_born_1987)>	Gary Roberts (footballer, born 1987)
<Setsuro_Ebashi>	Setsuro Ebashi
<Phillip_Fulmer>	Phillip Fulmer
<George_Washington_Warren>	George Washington Warren
<Gloria_Grahame>	Gloria Grahame
<Diogo_Viana>	Diogo Viana
<Norman_Chandler>	Norman Chandler
<The_Trick_is_to_Keep_Breathing_(novel)>	The Trick is to Keep Breathing (novel)
<Smallville>	Smallville
<John_Latham_(judge)>	John Latham (judge)
<Gil_Gomes>	Gil Gomes
<Betty_Brosmer>	Betty Brosmer
<Don_Brinkley>	Don Brinkley
<Cassa_di_Risparmio_del_Veneto>	Cassa di Risparmio del Veneto
<Ottawa>	Ottawa
<Skøyen_Station>	Skøyen Station
<Casa_de_Fierro>	Casa de Fierro
<The_Story_of_Ruth>	The Story of Ruth
<Ben_Howland>	Ben Howland
<CD_Atlético_Baleares>	CD Atlético Baleares
<Rose_McConnell_Long>	Rose McConnell Long
<Mary_Agnes_Donoghue>	Mary Agnes Donoghue
<Social_Democratic_Party_of_Germany>	Social Democratic Party of Germany
<Artur_Davis>	Artur Davis
<Elizabeth_McCombs>	Elizabeth McCombs
<Chris_Woods>	Chris Woods
<Don't_Burn_the_Witch...>	Don't Burn the Witch...
<Cerberus_Capital_Management>	Cerberus Capital Management
<Moray_Callum>	Moray Callum
<George_Eliot>	George Eliot
<Real_Murcia_Imperial>	Real Murcia Imperial
<Robert_C._Springer>	Robert C. Springer
<Carolina_Cougars>	Carolina Cougars
<John_Brown's_Body_(poem)>	John Brown's Body (poem)
<Gloria_Loring>	Gloria Loring
<Henri_Castelli>	Henri Castelli
<Benjamin_Walker_(actor)>	Benjamin Walker (actor)
<Haslemere>	Haslemere
<Portugal_national_under-18_football_team>	Portugal national under-18 football team
<Tim_Daly>	Tim Daly
<Judi_Chamberlin>	Judi Chamberlin
<Middle_Age_Spread>	Middle Age Spread
<Efren_Ramirez>	Efren Ramirez
<Potevio>	Potevio
<Vathek>	Vathek
<Vilanovense_F.C.>	Vilanovense F.C.
<Barnard_Hughes>	Barnard Hughes
<Jay_Nordlinger>	Jay Nordlinger
<San_Mateo,_Boyacá>	San Mateo, Boyacá
<Basil_Bunting>	Basil Bunting
<Elizabeth_Blackburn>	Elizabeth Blackburn
<The_Triumph_of_Cleopatra>	The Triumph of Cleopatra
<Heinz_Hofschneider>	Heinz Hofschneider
<Louis_Pieri>	Louis Pieri
<Hanna_(film)>	Hanna (film)
<Kent_Smith>	Kent Smith
<John_R._Pierce>	John R. Pierce
<Allen_Carr>	Allen Carr
<Fidelity_Building_(Baltimore)>	Fidelity Building (Baltimore)
<Jocelyn_Lane>	Jocelyn Lane
<Florence_Lawrence>	Florence Lawrence
<EverBank_Field>	EverBank Field
<Standard_Liège>	Standard Liège
<Simon_Walton>	Simon Walton
<Thomas_More>	Thomas More
<Insomniac_Games>	Insomniac Games
<Lexington,_Virginia>	Lexington, Virginia
<Erton_Fejzullahu>	Erton Fejzullahu
<J._Morris_Foster>	J. Morris Foster
<Eric_van_Tijn>	Eric van Tijn
<House_Husbands>	House Husbands
<Murray_Gell-Mann>	Murray Gell-Mann
<Ichiro_Suzuki>	Ichiro Suzuki
<University_of_Catania>	University of Catania
<Joy_Philbin>	Joy Philbin
<D._Imman>	D. Imman
<Bigsby_Medal>	Bigsby Medal
<Richard_Gilliland>	Richard Gilliland
<Vivendi>	Vivendi
<Lynda_Resnick>	Lynda Resnick
<Rudolf_Jaenisch>	Rudolf Jaenisch
<Blonde_Trouble>	Blonde Trouble
<Europa_Europa>	Europa Europa
<Gwen_Welles>	Gwen Welles
<Tasuku_Honjo>	Tasuku Honjo
<Walter_Eric_Spear>	Walter Eric Spear
<Durham_University>	Durham University
<Robert_Rodes_McGoodwin>	Robert Rodes McGoodwin
<Ford_Taurus_(first_generation)>	Ford Taurus (first generation)
<NASCAR_on_CBS>	NASCAR on CBS
<Disney_Interactive>	Disney Interactive
<Dragnet_(franchise)>	Dragnet (franchise)
<Charles_D'Ebro>	Charles D'Ebro
<Rodney_Loudon>	Rodney Loudon
<Adam_Curry>	Adam Curry
<Goo_Goo_Dolls>	Goo Goo Dolls
<Henrietta_Valor>	Henrietta Valor
<Wales_national_under-19_football_team>	Wales national under-19 football team
<Queens_Park_Rangers_F.C.>	Queens Park Rangers F.C.
<Bruce_Medal>	Bruce Medal
<Colleen_Bell>	Colleen Bell
<Roger_B._Taney>	Roger B. Taney
<Oh!_Calcutta!>	Oh! Calcutta!
<Fernando_Alonso_(dancer)>	Fernando Alonso (dancer)
<Mugi_Rekso_Abadi>	Mugi Rekso Abadi
<Edwin_McMillan>	Edwin McMillan
<Lucile_Browne>	Lucile Browne
<Lenin_Prize>	Lenin Prize
<Herbert_Payne>	Herbert Payne
<Sega_Rally>	Sega Rally
<F.C._Marco>	F.C. Marco
<Hendrik_Lorentz>	Hendrik Lorentz
<Eddie_Dee>	Eddie Dee
<Missoula,_Montana>	Missoula, Montana
<Clean_Break_(TV_series)>	Clean Break (TV series)
<Dave_Amels>	Dave Amels
<Borusa>	Borusa
<Jane_Harman>	Jane Harman
<Samuel_E._Blum>	Samuel E. Blum
<Arsenal_F.C._Academy>	Arsenal F.C. Academy
<Duffy_Daugherty>	Duffy Daugherty
<Wairarapa_FM>	Wairarapa FM
<Dugald_Thomson>	Dugald Thomson
<Parker_Stevenson>	Parker Stevenson
<Phyllis_Calvert>	Phyllis Calvert
<Per_Teodor_Cleve>	Per Teodor Cleve
<Joseph_Morgan_(actor)>	Joseph Morgan (actor)
<Millard_H._Alexander>	Millard H. Alexander
<Aguinaldo_Policarpo_Mendes_Veiga>	Aguinaldo Policarpo Mendes Veiga
<Chris_Lang>	Chris Lang
<Dodge_Intrepid>	Dodge Intrepid
<Ansar_al-Islam>	Ansar al-Islam
<The_Hague>	The Hague
<Danielle_Mitterrand>	Danielle Mitterrand
<Jan_Åge_Fjørtoft>	Jan Åge Fjørtoft
<Frank_Shu>	Frank Shu
<Immanuel_Bloch>	Immanuel Bloch
<AMCARA_Broadcasting_Network>	AMCARA Broadcasting Network
<Kimberly_Guilfoyle>	Kimberly Guilfoyle
<Tim_Hunt>	Tim Hunt
<Southampton_F.C._Academy>	Southampton F.C. Academy
<SNCF>	SNCF
<World_of_Jenks>	World of Jenks
<Anders_Ekborg>	Anders Ekborg
<Allie_(wrestler)>	Allie (wrestler)
<VA_Tech_Wabag>	VA Tech Wabag
<Johnnie_Mortimer>	Johnnie Mortimer
<James_P._Gray>	James P. Gray
<Ben_Bernanke>	Ben Bernanke
<Clarence_Brown>	Clarence Brown
<Dean_Kamen>	Dean Kamen
<Ford_Foundation>	Ford Foundation
<Tanduay_Rhum_Masters>	Tanduay Rhum Masters
<National_Institutes_of_Health>	National Institutes of Health
<Saint_Andrew's_Golf_Club>	Saint Andrew's Golf Club
<New_York_University>	New York University
<Domestic_Powerviolence>	Domestic Powerviolence
<Jack_Clayton>	Jack Clayton
<Allahabad>	Allahabad
<Order_of_the_British_Empire>	Order of the British Empire
<Shuri,_Okinawa>	Shuri, Okinawa
<Nicolaas_Bloembergen>	Nicolaas Bloembergen
<Ada_Calhoun>	Ada Calhoun
<Philip_N._Cohen>	Philip N. Cohen
<Halwill_Junction_railway_station>	Halwill Junction railway station
<Vladimir_the_Great>	Vladimir the Great
<Raymond_Loewy>	Raymond Loewy
<John_Guillermin>	John Guillermin
<Tim_Kaine>	Tim Kaine
<Madhu_Trehan>	Madhu Trehan
<Chiu_Keng_Guan>	Chiu Keng Guan
<Decoration_of_Honour_for_Services_to_the_Republic_of_Austria>	Decoration of Honour for Services to the Republic of Austria
<James_McBride_(writer)>	James McBride (writer)
<Tulane_University>	Tulane University
<Herbert_H._Franklin>	Herbert H. Franklin
<The_Hawaiians_(WFL)>	The Hawaiians (WFL)
<Renat_Gafurov>	Renat Gafurov
<George_Washington_University>	George Washington University
<Daniel_Fernandes_(footballer)>	Daniel Fernandes (footballer)
<Sam_Elliott>	Sam Elliott
<FC_Atyrau>	FC Atyrau
<UniCredit>	UniCredit
<FIFA_10>	FIFA 10
<Rose_Jackson_(actress)>	Rose Jackson (actress)
<Fascht_e_Familie>	Fascht e Familie
<Jon_Bewers>	Jon Bewers
<Freeman_Dyson>	Freeman Dyson
<Banca_Tirrenica>	Banca Tirrenica
<Joan_Verdú>	Joan Verdú
<Elsa_Pataky>	Elsa Pataky
<C.F._União_de_Lamas>	C.F. União de Lamas
<Andrew_McNeil>	Andrew McNeil
<India>	India
<Brisbane>	Brisbane
<Reformist_Bloc>	Reformist Bloc
<HP_Labs>	HP Labs
<Heart_of_Midlothian_F.C.>	Heart of Midlothian F.C.
<Charles_Russell_(actor)>	Charles Russell (actor)
<Sam_Houston>	Sam Houston
<Anita_Yuen>	Anita Yuen
<Bob_Peck>	Bob Peck
<BlazeVOX_Books>	BlazeVOX Books
<Tony_Carpenter>	Tony Carpenter
<Never_Tear_Us_Apart>	Never Tear Us Apart
<Curt_Johannes_Braun>	Curt Johannes Braun
<William_Bowie_Medal>	William Bowie Medal
<University_College_London>	University College London
<Nick_Moore_(musician)>	Nick Moore (musician)
<Ada_Choi>	Ada Choi
<Pottsville_Maroons>	Pottsville Maroons
<Donald_Byrd>	Donald Byrd
<Peter_Schreyer>	Peter Schreyer
<Worzel_Gummidge_(TV_series)>	Worzel Gummidge (TV series)
<The_Water_That_Falls_on_You_from_Nowhere>	The Water That Falls on You from Nowhere
<Ruth_Hubbard>	Ruth Hubbard
<Nicholas_Goodrick-Clarke>	Nicholas Goodrick-Clarke
<William_Pereira>	William Pereira
<The_Death_of_Artemio_Cruz>	The Death of Artemio Cruz
<Royal_Festival_Hall>	Royal Festival Hall
<Watergate_Halt_railway_station>	Watergate Halt railway station
<Kevin_A._Ford>	Kevin A. Ford
<National_Renewal_Alliance>	National Renewal Alliance
<Ardiente_paciencia>	Ardiente paciencia
<Brendan_I._Koerner>	Brendan I. Koerner
<Free_Trade_Party>	Free Trade Party
<Ludwig_Roth>	Ludwig Roth
<Yvonne_Howell>	Yvonne Howell
<Milton_Friedman>	Milton Friedman
<SYAC_UAV>	SYAC UAV
<Walter_Liberty_Vernon>	Walter Liberty Vernon
<Andrea_Levy>	Andrea Levy
<T._T._Chang>	T. T. Chang
<Vasco_M._Tanner>	Vasco M. Tanner
<Dmitri_Bulykin>	Dmitri Bulykin
<Valencia_CF>	Valencia CF
<Bura_(footballer)>	Bura (footballer)
<Ankit_Trivedi>	Ankit Trivedi
<Soaring_Stones>	Soaring Stones
<Liberal_Party_(Brazil)>	Liberal Party (Brazil)
<William_Webster_(Australian_politician)>	William Webster (Australian politician)
<Valerie_French_(actress)>	Valerie French (actress)
<Burqavaganza>	Burqavaganza
<Kate_Klise>	Kate Klise
<Alan_Howard>	Alan Howard
<Sofia>	Sofia
<St._Nicholas_Historic_District>	St. Nicholas Historic District
<William_Galston>	William Galston
<Jason_Biggs>	Jason Biggs
<Irene_Bedard>	Irene Bedard
<Richard_Neustadt>	Richard Neustadt
<Darley_Stud>	Darley Stud
<The_Time_of_Your_Life>	The Time of Your Life
<Absolutely_American>	Absolutely American
<Shigetada_Nakanishi>	Shigetada Nakanishi
<Steve_Allen>	Steve Allen
<Kyoto_Prize>	Kyoto Prize
<Santha_Rama_Rau>	Santha Rama Rau
<Berlin>	Berlin
<Margin_Call_(film)>	Margin Call (film)
<Queen's_University_Belfast>	Queen's University Belfast
<Rayo_Vallecano>	Rayo Vallecano
<County_Durham>	County Durham
<Fleetwood_Town_F.C.>	Fleetwood Town F.C.
<Tender_Mercies>	Tender Mercies
<Ian_Gilmour,_Baron_Gilmour_of_Craigmillar>	Ian Gilmour, Baron Gilmour of Craigmillar
<Lee_Jae-ryong>	Lee Jae-ryong
<Jane_Goodall>	Jane Goodall
<Tony_Curtis>	Tony Curtis
<Thomas_Kailath>	Thomas Kailath
<Helmut_Hölzer>	Helmut Hölzer
<Clemens_von_Delbrück>	Clemens von Delbrück
<Antonio_Hidalgo_(footballer,_born_1979)>	Antonio Hidalgo (footballer, born 1979)
<Gatewood_Galbraith>	Gatewood Galbraith
<Bill_Travers>	Bill Travers
<The_Picture_of_Dorian_Gray_(1945_film)>	The Picture of Dorian Gray (1945 film)
<Marius_the_Epicurean>	Marius the Epicurean
<Ezell_Lee>	Ezell Lee
<John_Fritz_Medal>	John Fritz Medal
<Cassandra_Harris>	Cassandra Harris
<Conrad_Black>	Conrad Black
<Mark_Snow>	Mark Snow
<The_Description_of_Britain>	The Description of Britain
<Jane_Lapotaire>	Jane Lapotaire
<Yahoo!>	Yahoo!
<John_Hamburg>	John Hamburg
<James_Black_(pharmacologist)>	James Black (pharmacologist)
<Bradley_Cooper>	Bradley Cooper
<Dagenham_&_Redbridge_F.C.>	Dagenham & Redbridge F.C.
<The_Change-Up>	The Change-Up
<PolyGram_Filmed_Entertainment>	PolyGram Filmed Entertainment
<Francis_Pangilinan>	Francis Pangilinan
<The_Wednesday_Play>	The Wednesday Play
<Daniel_Candeias>	Daniel Candeias
<Lorentz_Medal>	Lorentz Medal
<Liceu>	Liceu
<Rossetti_Architects>	Rossetti Architects
<Kim_Ji-ho>	Kim Ji-ho
<Calvin_Gotlieb>	Calvin Gotlieb
<Aydın_Doğan>	Aydın Doğan
<ITV_Meridian>	ITV Meridian
<Humongous_Entertainment>	Humongous Entertainment
<Tom_Almadon>	Tom Almadon
<ThinkPad_T_Series>	ThinkPad T Series
<James_Glimm>	James Glimm
<SOAS,_University_of_London>	SOAS, University of London
<Fled>	Fled
<Rocks_in_My_Pockets>	Rocks in My Pockets
<Lex_Barker>	Lex Barker
<Jane_Powell>	Jane Powell
<Maggie_Roswell>	Maggie Roswell
<Walther_Neye>	Walther Neye
<Tempo_Beer_Industries>	Tempo Beer Industries
<William_Rowland>	William Rowland
<Hudson's_Bay_Queen_Street>	Hudson's Bay Queen Street
<Marek_Belka>	Marek Belka
<The_Teahouse_of_the_August_Moon_(play)>	The Teahouse of the August Moon (play)
<Robert_A._Howie>	Robert A. Howie
<Yash_Chopra>	Yash Chopra
<Indosiar>	Indosiar
<Gerald_W._Abrams>	Gerald W. Abrams
<New_York_City>	New York City
<Al-Gharafa_Sports_Club>	Al-Gharafa Sports Club
<Marietta,_Ohio>	Marietta, Ohio
<CNRS_Gold_medal>	CNRS Gold medal
<Zürich>	Zürich
<Millwall_F.C.>	Millwall F.C.
<Genevieve_Tobin>	Genevieve Tobin
<Holliston_(TV_series)>	Holliston (TV series)
<Abdulai_Bell-Baggie>	Abdulai Bell-Baggie
<Sarah-Jane_Potts>	Sarah-Jane Potts
<The_Duck_Variations>	The Duck Variations
<Baylor_College_of_Medicine>	Baylor College of Medicine
<A_New_Earth>	A New Earth
<Tokuma_Shoten>	Tokuma Shoten
<Ivan_Svanidze>	Ivan Svanidze
<Ryan_Howard>	Ryan Howard
<Eric_Allin_Cornell>	Eric Allin Cornell
<Chinu_Modi>	Chinu Modi
<Gruber_Prize_in_Cosmology>	Gruber Prize in Cosmology
<G._V._Iyer>	G. V. Iyer
<Kathleen_Kennedy_(producer)>	Kathleen Kennedy (producer)
<James_M._Brady>	James M. Brady
<Ellen_Wood_(author)>	Ellen Wood (author)
<Glen_Tonche>	Glen Tonche
<Mansfield_Town_F.C.>	Mansfield Town F.C.
<Shamshi_Kaldayakov>	Shamshi Kaldayakov
<Derek_Jeter>	Derek Jeter
<Cedar_Rapids,_Iowa>	Cedar Rapids, Iowa
<Fernando_Pessoa>	Fernando Pessoa
<Spain_national_under-20_football_team>	Spain national under-20 football team
<The_Spongers>	The Spongers
<Frederick_Sanger>	Frederick Sanger
<Transport_for_London>	Transport for London
<Crewe_Alexandra_F.C.>	Crewe Alexandra F.C.
<Assistance_(play)>	Assistance (play)
<Dirac_Medal>	Dirac Medal
<Chieftain's_Salute>	Chieftain's Salute
<Rail_Wheel_Plant,_Bela>	Rail Wheel Plant, Bela
<Michael_Gill>	Michael Gill
<Henry_Lee_Junior>	Henry Lee Junior
<Ginnifer_Goodwin>	Ginnifer Goodwin
<Immaculate_Conception_Church_(Manhattan)>	Immaculate Conception Church (Manhattan)
<U.D._Oliveirense>	U.D. Oliveirense
<Vanderbilt_University>	Vanderbilt University
<October_Films>	October Films
<Peter_Crouch>	Peter Crouch
<Julian_Glover>	Julian Glover
<Seoul>	Seoul
<Atoms_for_Peace_Award>	Atoms for Peace Award
<Stitches_(book)>	Stitches (book)
<Mark_Few>	Mark Few
<Cagliari_Calcio>	Cagliari Calcio
<Independence,_Missouri>	Independence, Missouri
<Kenneth_Mapp>	Kenneth Mapp
<Bill_Thompson_(voice_actor)>	Bill Thompson (voice actor)
<Mario_Rosas>	Mario Rosas
<Sarah_Michelle_Gellar>	Sarah Michelle Gellar
<Wonderland_Sydney>	Wonderland Sydney
<Nicos_Poulantzas>	Nicos Poulantzas
<Franz_Seldte>	Franz Seldte
<Amos_E._Joel_Jr.>	Amos E. Joel Jr.
<United_States_Navy>	United States Navy
<One_Flew_Over_the_Cuckoo's_Nest_(film)>	One Flew Over the Cuckoo's Nest (film)
<AC_Horsens>	AC Horsens
<Arto_Paasilinna>	Arto Paasilinna
<Annette_de_la_Renta>	Annette de la Renta
<Hello,_Dolly!_(musical)>	Hello, Dolly! (musical)
<Spike_Island_(film)>	Spike Island (film)
<Aarhus_Gymnastikforening>	Aarhus Gymnastikforening
<George_F._Carrier>	George F. Carrier
<Will_Barratt>	Will Barratt
<John_C._Sawhill>	John C. Sawhill
<Jet_Propulsion_Laboratory>	Jet Propulsion Laboratory
<Derek_Asamoah>	Derek Asamoah
<J._B._Gunn>	J. B. Gunn
<Augustus_Hill_Garland>	Augustus Hill Garland
<Jan_Lamb>	Jan Lamb
<United_States_Military_Academy>	United States Military Academy
<BMW_6_Series_(F06/F12/F13)>	BMW 6 Series (F06/F12/F13)
<Rex_Ingram_(director)>	Rex Ingram (director)
<Micheline_Cheirel>	Micheline Cheirel
<National_Republican_Party>	National Republican Party
<Robert_Tienwen_Chien>	Robert Tienwen Chien
<Kenwa_Mabuni>	Kenwa Mabuni
<Skin_(1995_film)>	Skin (1995 film)
<Kettering_Town_F.C.>	Kettering Town F.C.
<Carlos_Brandão>	Carlos Brandão
<Season_Hubley>	Season Hubley
<Charles_C._Bradley>	Charles C. Bradley
<Bold_as_Love_(novel)>	Bold as Love (novel)
<E._C._Stearns_&_Company>	E. C. Stearns & Company
<William_J._Hochul,_Jr.>	William J. Hochul, Jr.
<Rolly_Bester>	Rolly Bester
<Christine_Lagarde>	Christine Lagarde
<Yakov_Eliashberg>	Yakov Eliashberg
<Thomas_Nagel>	Thomas Nagel
<George_Crabbe>	George Crabbe
<Scotland_national_under-21_football_team>	Scotland national under-21 football team
<Sing_Street>	Sing Street
<Mihajlo_Pupin>	Mihajlo Pupin
<Sanjeev_Seth>	Sanjeev Seth
<Tony_Steedman>	Tony Steedman
<Sonya_Walger>	Sonya Walger
<Janet_Gaynor>	Janet Gaynor
<Ernesto_Maceda>	Ernesto Maceda
<Bunga_Citra_Lestari>	Bunga Citra Lestari
<Karl_Gordon_Henize>	Karl Gordon Henize
<Harriet_Nelson>	Harriet Nelson
<Brazil_national_football_team>	Brazil national football team
<Jeff_Bezos>	Jeff Bezos
<Sidney_Edgerton>	Sidney Edgerton
<Prostitution_(1963_film)>	Prostitution (1963 film)
<Robert_Peel>	Robert Peel
<Jon_Moya>	Jon Moya
<Annie_Baker>	Annie Baker
<Masatoshi_Shima>	Masatoshi Shima
<Ruth_Nelson_(actress)>	Ruth Nelson (actress)
<Zbigniew_Cybulski>	Zbigniew Cybulski
<Rajiv_Malhotra>	Rajiv Malhotra
<Guy_Lewis>	Guy Lewis
<Norwegian_State_Railways>	Norwegian State Railways
<John_Pont>	John Pont
<Jim_Black>	Jim Black
<Val_Avery>	Val Avery
<Fiona_Stanley>	Fiona Stanley
<Sri_Lanka>	Sri Lanka
<Hines_Interests_Limited_Partnership>	Hines Interests Limited Partnership
<The_Pride_of_the_Yankees>	The Pride of the Yankees
<Bill_Waller>	Bill Waller
<Hägar_the_Horrible>	Hägar the Horrible
<Valerie_Solanas>	Valerie Solanas
<Frank_Beamer>	Frank Beamer
<Bernt_Michael_Holmboe>	Bernt Michael Holmboe
<Channel_One_News>	Channel One News
<Duke_Ferdinand_Frederick_Augustus_of_Württemberg>	Duke Ferdinand Frederick Augustus of Württemberg
<George_Thomson,_Baron_Thomson_of_Monifieth>	George Thomson, Baron Thomson of Monifieth
<Regina_Peruggi>	Regina Peruggi
<INews_TV>	INews TV
<Richard_S._Hamilton>	Richard S. Hamilton
<The_Unbearable_Lightness_of_Being>	The Unbearable Lightness of Being
<Rice_University>	Rice University
<John_Jay_O'Connor>	John Jay O'Connor
<Dev_Anand>	Dev Anand
